55,48,47,37,14,2
30,24,22,53,39,32
54,50,48,44,30,18
32,28,24,35,25,18
47,43,42,37,18,9
42,36,34,37,14,12
30,23,22,44,28,25
40,35,34,30,7,2
51,47,46,42,28,25
40,38,36,55,39,32
57,50,46,28,14,2
32,31,27,46,44,32
48,46,43,46,30,23
40,39,38,58,53,42
57,54,53,55,48,46
54,50,47,60,48,44
44,42,40,28,23,14
51,47,43,55,53,42
39,34,30,48,39,32
44,40,38,55,46,42
43,42,39,30,25,23
40,34,32,35,16,12
55,53,51,60,37,32
36,32,30,55,39,35
30,27,26,53,46,37
53,46,42,58,39,32
35,34,30,28,5,2
34,31,30,48,32,23
43,39,38,28,16,9
34,31,30,28,14,7
35,34,31,35,28,21
30,28,24,28,21,9
